feature_p1,feature_p2,feature_p3,feature_s1,feature_s2,feature_s3,vibration,vertical_acceleration_mps2,acoustic_db,timestamp,lift_identifier,failure_type
1436,54.1,90.0,301.4,310.7,5512.320025,48.21507638039077,1.0595772874397975,95.62059277481504,2025-09-22 05:50:06.782208,WP PMA 80466,signal delay
1392,46.4,174.0,297.4,308.7,5479.404529,49.82094774461507,1.7275260349496973,82.29807714007318,2025-09-22 05:52:05.782208,WP PMA 80466,signal delay
1466,47.0,80.0,303.5,311.6,5471.412961,0.8385425008573159,0.08350860064075409,61.47804593822978,2025-09-22 05:55:08.782208,WP PMA 80271,No failure
1713,25.3,124.0,298.0,308.5,5461.505604,4.36583332781832,0.07578350295231517,63.61869891326399,2025-09-22 05:57:11.782208,WP PMA 80271,No failure
1478,38.6,141.0,301.8,310.5,5304.791556,37.28807496496765,1.3246250892014255,81.75641095592287,2025-09-22 06:08:24.782208,WP PMA 80466,door close delay
1471,39.3,91.0,300.9,311.1,5518.558369,2.0437561505978157,0.1080688127636893,59.03486925189598,2025-09-22 06:20:14.782208,WP PMA 80271,No failure
1489,44.1,96.0,297.0,308.1,5417.990449,0.559050685435996,0.10377517459119733,61.99142830788492,2025-09-22 06:34:13.782208,WP PMA 80466,No failure
1305,49.1,16.0,302.4,312.0,5504.601249,4.326823286153145,0.11886770894919212,55.407987563235984,2025-09-22 06:37:21.782208,WP PMA 80466,No failure
1412,45.3,155.0,300.7,309.9,5258.135169,4.709325570229013,0.14156706667686494,63.68927153022575,2025-09-22 06:50:03.782208,WP PMA 80466,No failure
1727,30.1,102.0,300.9,310.9,5262.196681,4.021065385542096,0.15917103736375157,56.96685603731497,2025-09-22 06:53:57.782208,WP PMA 80466,No failure
1341,58.9,126.0,299.0,310.0,5466.679969,3.868114970564022,0.14883782982236687,57.29123042639309,2025-09-22 07:03:25.782208,WP PMA 80466,No failure
1534,33.2,75.0,298.3,308.2,5462.096836,38.38206123061534,1.8642989668196104,93.6352359612934,2025-09-22 07:08:42.782208,WP PMA 80271,door close delay
1461,39.4,141.0,298.8,309.8,5465.201329,2.4046611552592942,0.19282987088495276,62.02689857247364,2025-09-22 07:16:56.782208,WP PMA 80467,No failure
1922,23.3,205.0,299.6,310.7,5467.419364,3.513723098781987,0.0223518216123849,61.83834100013778,2025-09-22 07:17:43.782208,WP PMA 80271,No failure
1341,52.2,49.0,297.4,308.4,5321.410704,4.737853507009689,0.07141574411819127,62.1374363888059,2025-09-22 07:20:27.782208,WP PMA 80467,No failure
1521,37.2,131.0,299.6,311.1,5467.715136,46.673454718591316,1.420389399153339,95.87920103880379,2025-09-22 07:20:44.782208,WP PMA 80467,door close delay
1527,35.1,165.0,297.3,308.0,5474.668081,1.0120077352552128,0.10970205876433257,58.7634127625355,2025-09-22 07:23:35.782208,WP PMA 80466,No failure
1585,31.4,149.0,299.4,310.8,5292.417001,2.613335539800775,0.18212141275520133,63.31461859767334,2025-09-22 07:32:06.782208,WP PMA 80467,No failure
1472,44.9,198.0,297.5,308.6,5456.038225,0.366076140605077,0.14197719265003253,62.62866629090892,2025-09-22 07:42:21.782208,WP PMA 80271,No failure
1738,24.0,195.0,297.5,308.9,5329.0,40.63022144617679,0.952472150300518,95.93287998331198,2025-09-22 08:01:59.782208,WP PMA 80467,door close delay
1684,29.3,167.0,303.8,312.6,5478.9604,45.95904206895359,1.5958608150105298,83.515013763323,2025-09-22 08:02:44.782208,WP PMA 80467,door close delay
1611,30.2,211.0,297.5,309.1,5323.453444,2.6444713468503993,0.10684311190915294,63.07773588592228,2025-09-22 08:15:55.782208,WP PMA 80467,No failure
1577,29.4,130.0,297.0,308.2,5347.119376,3.62353524137298,0.019516439783499887,58.10459717199888,2025-09-22 08:16:53.782208,WP PMA 80271,No failure
1375,46.4,48.0,298.7,308.5,5373.476416,26.69484987609539,0.88461271440945,80.9906377364198,2025-09-22 08:22:49.782208,WP PMA 80467,door close delay
1488,41.9,196.0,297.8,308.5,5460.175449,45.36625728238058,0.586463643662795,88.59180885604579,2025-09-22 08:40:24.782208,WP PMA 80466,Random failure
1286,51.1,177.0,296.3,307.2,5428.005625,23.4303106810246,1.4262639106760326,88.00815197335469,2025-09-22 08:52:37.782208,WP PMA 80466,door open delay
1513,40.0,51.0,300.4,311.7,5244.077056,25.14323664801961,0.5049198162018053,96.51196761417759,2025-09-22 09:01:24.782208,WP PMA 80466,door close delay
1571,37.7,162.0,297.4,308.3,5319.951844,0.7460416878361187,0.08068767805244693,56.52325141904249,2025-09-22 09:17:22.782208,WP PMA 80466,No failure
1779,25.5,129.0,299.7,309.3,5399.604324,3.995396226247596,0.08414691864766508,56.36267568141682,2025-09-22 09:26:55.782208,WP PMA 80467,No failure
1670,31.3,150.0,301.0,311.7,5506.975681,4.67518749925281,0.10532948561374286,60.823695454818996,2025-09-22 09:28:36.782208,WP PMA 80466,No failure
1362,53.8,164.0,298.3,308.5,5465.053476,3.7177429770033976,0.07175363549665675,62.376539465808186,2025-09-22 09:34:37.782208,WP PMA 80466,No failure
1583,35.7,116.0,298.8,310.2,5352.3856,37.92661578444592,0.6317103864251624,92.65824473217468,2025-09-22 09:36:16.782208,WP PMA 80466,door open delay
1417,39.2,65.0,298.1,308.9,5402.544004,42.18444491739179,0.8419734264000982,90.26619371204663,2025-09-22 09:40:52.782208,WP PMA 80467,door close delay
1502,40.2,30.0,297.9,309.0,5473.0404,0.9301127860211752,0.08267735406382123,62.58102693557539,2025-09-22 09:50:23.782208,WP PMA 80271,No failure
1472,42.5,91.0,301.6,309.8,5281.655625,1.2613860728095985,0.14137194075568135,56.70269197839543,2025-09-22 10:02:53.782208,WP PMA 80271,No failure
1489,40.6,89.0,298.2,309.0,5259.875625,26.47058142682505,1.4778885915777045,89.33932847526452,2025-09-22 10:10:55.782208,WP PMA 80467,door open delay
1904,20.3,140.0,298.3,309.1,5281.946329,4.559202964996042,0.01430194775059214,60.15800368024347,2025-09-22 10:13:39.782208,WP PMA 80271,No failure
1458,51.0,42.0,302.8,312.2,5268.872569,3.82938208748918,0.16584610893415588,62.81709759785243,2025-09-22 10:46:40.782208,WP PMA 80467,No failure
1789,25.5,114.0,300.9,311.2,5252.770576,29.099466842190104,1.738325870197019,93.84443719569134,2025-09-22 10:59:44.782208,WP PMA 80271,signal delay
1507,41.8,19.0,301.0,309.9,5257.845121,0.6357993483062401,0.0392115978558233,61.14128787283005,2025-09-22 11:13:08.782208,WP PMA 80467,No failure
1404,41.8,71.0,301.0,310.9,5517.369841,4.765824021592347,0.08258874792253365,57.41436108015698,2025-09-22 11:14:23.782208,WP PMA 80271,No failure
1586,37.8,103.0,300.0,309.7,5395.930849,4.3341845760117685,0.05382383170233851,62.191033866246805,2025-09-22 11:16:59.782208,WP PMA 80467,No failure
1387,52.7,2.0,298.9,310.6,5250.886369,4.588663676331499,0.15317072692398734,59.99239368217541,2025-09-22 11:24:38.782208,WP PMA 80466,No failure
1581,47.4,51.0,298.1,308.7,5470.525369,49.33111180790905,0.5420956171257758,97.1445135404005,2025-09-22 11:38:32.782208,WP PMA 80467,door close delay
1370,55.9,143.0,300.5,309.8,5332.942729,30.02756191796996,1.83812244626275,94.53130435072775,2025-09-22 11:41:37.782208,WP PMA 80466,door close delay
1662,26.9,183.0,297.1,307.9,5277.150736,23.362238882353317,1.8939072927671246,84.03490101665102,2025-09-22 12:07:40.782208,WP PMA 80466,signal delay
1660,34.4,9.0,298.9,308.3,5388.147216,3.5842560492087796,0.08872326614963529,56.48233178709549,2025-09-22 12:19:58.782208,WP PMA 80466,No failure
1375,46.4,48.0,298.7,308.5,5373.476416,26.69484987609539,0.88461271440945,80.9906377364198,2025-09-22 12:26:37.782208,WP PMA 80466,door close delay
1375,46.4,48.0,298.7,308.5,5373.476416,26.69484987609539,0.88461271440945,80.9906377364198,2025-09-22 12:32:43.782208,WP PMA 80466,door close delay
1397,46.9,82.0,302.6,311.9,5268.582225,46.33389815864494,0.5851979464331976,90.61406537998971,2025-09-22 12:38:46.782208,WP PMA 80466,Random failure
1370,55.9,143.0,300.5,309.8,5332.942729,30.02756191796996,1.83812244626275,94.53130435072775,2025-09-22 12:53:38.782208,WP PMA 80467,door close delay
1355,51.4,76.0,297.0,308.1,5418.284881,21.531168293332144,1.2389006808121412,85.78997715095218,2025-09-22 13:11:20.782208,WP PMA 80467,Random failure
1383,48.7,147.0,295.6,306.1,5432.574436,42.06220479764772,0.8198605991308731,86.20096073009861,2025-09-22 13:15:24.782208,WP PMA 80271,door close delay
1394,46.5,206.0,301.5,310.6,5422.8496,3.33667139985266,0.15645774152487107,63.76426665583099,2025-09-22 13:20:30.782208,WP PMA 80467,No failure
1789,25.5,114.0,300.9,311.2,5252.770576,29.099466842190104,1.738325870197019,93.84443719569134,2025-09-22 13:22:03.782208,WP PMA 80271,signal delay
1513,38.0,38.0,300.9,311.9,5491.254609,45.398608991025895,1.6628507955465734,97.30340726359175,2025-09-22 13:37:34.782208,WP PMA 80467,door open delay
1353,49.8,182.0,299.9,309.2,5413.133476,29.662009234732807,1.229492610046293,92.09581103221204,2025-09-22 13:41:18.782208,WP PMA 80466,drive delay
1806,27.7,44.0,303.3,311.8,5477.332081,3.0709761660428434,0.09726398384852637,57.60316914095385,2025-09-22 13:46:07.782208,WP PMA 80466,No failure
1635,39.8,99.0,302.0,310.5,5284.417636,2.4844319246826907,0.1557559528884135,56.39351016028305,2025-09-22 13:49:31.782208,WP PMA 80271,No failure
1605,30.0,183.0,297.2,308.4,5263.937809,0.3397636153138979,0.14647656544497534,56.406894115966246,2025-09-22 13:58:36.782208,WP PMA 80466,No failure
1423,40.2,63.0,300.9,312.1,5491.254609,26.487242862943063,0.6574029788516131,82.48730646898161,2025-09-22 14:00:23.782208,WP PMA 80271,door open delay
1749,26.4,40.0,300.9,310.9,5261.471296,4.7610926537123905,0.1685870047730368,63.98714172964561,2025-09-22 14:26:11.782208,WP PMA 80467,No failure
1583,35.7,116.0,298.8,310.2,5352.3856,37.92661578444592,0.6317103864251624,92.65824473217468,2025-09-22 14:31:47.782208,WP PMA 80467,door open delay
1499,45.0,16.0,303.4,311.8,5476.740025,3.708840369498188,0.054269033544436816,57.51792817803542,2025-09-22 14:37:36.782208,WP PMA 80271,No failure
1679,30.9,79.0,302.9,312.5,5269.598464,0.22334077303173583,0.17675660735619678,57.9265033579618,2025-09-22 14:57:09.782208,WP PMA 80466,No failure
1368,57.9,191.0,300.5,311.8,5494.219129,0.38996137402427256,0.08268586085414587,57.98500686310354,2025-09-22 14:58:53.782208,WP PMA 80271,No failure
1535,39.0,204.0,301.5,310.5,5311.640161,4.357526624818834,0.18468390223852407,64.12895017102524,2025-09-22 15:00:18.782208,WP PMA 80467,No failure
1513,40.0,51.0,300.4,311.7,5244.077056,25.14323664801961,0.5049198162018053,96.51196761417759,2025-09-22 15:02:52.782208,WP PMA 80467,door close delay
1555,37.0,111.0,298.0,308.0,5397.253156,2.1921624491856533,0.022544243922094524,59.44308516666988,2025-09-22 15:03:48.782208,WP PMA 80467,No failure
1522,38.0,33.0,297.4,308.6,5418.873769,43.959348730009694,1.0402470399825932,82.86441012075419,2025-09-22 15:06:03.782208,WP PMA 80466,door close delay
1551,36.6,205.0,300.5,311.2,5496.7396,2.720668689420552,0.1965099402702265,59.44773154095845,2025-09-22 15:07:15.782208,WP PMA 80466,No failure
1661,34.2,109.0,296.7,307.4,5476.148001,39.530100823585144,1.8141870939694895,80.63461521403563,2025-09-22 15:16:02.782208,WP PMA 80271,door open delay
1415,49.6,21.0,300.2,310.2,5250.596521,3.9790275733354057,0.1801989983981525,57.11697405849111,2025-09-22 15:46:06.782208,WP PMA 80466,No failure
1650,31.9,126.0,301.8,310.6,5430.953025,1.528211720658521,0.07355327498388464,58.64239578618759,2025-09-22 15:54:27.782208,WP PMA 80467,No failure
1464,49.1,171.0,303.9,313.4,5271.195609,49.98468948636307,0.7407190196670943,80.1908078185052,2025-09-22 15:56:16.782208,WP PMA 80466,door open delay
1495,38.7,188.0,298.1,308.3,5314.701604,2.394258677523308,0.08790209250282219,60.65422305529088,2025-09-22 16:15:19.782208,WP PMA 80467,No failure
1502,43.2,139.0,297.6,308.3,5260.455841,45.25046550085902,0.681504933084405,84.61137984892757,2025-09-22 16:24:18.782208,WP PMA 80271,door close delay
1377,55.3,4.0,300.3,309.9,5514.102049,0.4780456970531003,0.049138757557544564,64.10888404324822,2025-09-22 16:29:02.782208,WP PMA 80271,No failure
1519,40.7,208.0,301.5,310.6,5315.430649,2.2471475363896114,0.19846188192426653,62.336762563134485,2025-09-22 16:33:19.782208,WP PMA 80271,No failure
1390,43.3,221.0,297.6,309.2,5451.607225,28.963313423812117,1.223664621780105,96.11862697857715,2025-09-22 16:47:37.782208,WP PMA 80466,door close delay
1324,59.1,118.0,297.4,308.6,5441.422756,2.567643467060868,0.12811195219184643,60.746802970996995,2025-09-22 16:56:01.782208,WP PMA 80466,No failure
1453,40.4,108.0,298.7,309.5,5485.920489,1.5583139521161775,0.18490001878802498,61.477528043452395,2025-09-22 16:59:02.782208,WP PMA 80466,No failure
1526,38.2,47.0,302.3,311.5,5445.111681,20.770653830747378,1.30602776858319,86.60692999486108,2025-09-22 17:05:35.782208,WP PMA 80466,signal delay
1423,49.1,74.0,300.6,309.6,5322.140209,4.995536232916241,0.04881146863599478,63.40393670364315,2025-09-22 17:11:59.782208,WP PMA 80271,No failure
1620,35.8,5.0,298.0,308.2,5463.722889,2.895963407081542,0.1321511934313978,64.37977511607801,2025-09-22 17:25:46.782208,WP PMA 80271,No failure
1375,42.7,58.0,298.9,309.3,5474.816064,36.69009158864943,0.8981628206628844,98.64108579120862,2025-09-22 17:30:26.782208,WP PMA 80466,door close delay
1387,57.6,50.0,298.6,309.6,5464.462084,31.02007056378983,1.924982620112702,85.77319677094144,2025-09-22 17:30:43.782208,WP PMA 80466,signal delay
1434,42.5,175.0,304.2,313.4,5487.994561,29.469631294351835,1.4768985738303422,80.94332617051371,2025-09-22 17:33:20.782208,WP PMA 80467,door open delay
1441,43.2,132.0,298.7,308.4,5469.489936,35.1055782720759,0.9394025035890767,81.07925966492373,2025-09-22 17:55:05.782208,WP PMA 80467,door close delay
1345,44.3,37.0,298.2,308.8,5285.871616,0.8253640225149175,0.020216557232291727,63.979797863877465,2025-09-22 18:02:40.782208,WP PMA 80271,No failure
1572,34.4,228.0,302.7,312.2,5497.777609,3.518118160186385,0.025392210723117155,58.77255461755735,2025-09-22 18:03:15.782208,WP PMA 80271,No failure
1509,40.6,175.0,299.4,310.4,5295.327361,2.572434852202431,0.02415445548971014,56.92327016955787,2025-09-22 18:10:21.782208,WP PMA 80466,No failure
1635,34.2,62.0,300.5,309.5,5405.484484,3.3064821801847826,0.08124769645658189,61.914318213930784,2025-09-22 18:29:17.782208,WP PMA 80466,No failure
1541,33.7,165.0,297.6,309.7,5325.642529,42.66027321379279,0.5957421488515693,81.39217013180169,2025-09-22 18:31:21.782208,WP PMA 80271,door close delay
1534,33.7,47.0,298.1,310.0,5446.44,36.52876351172468,0.8635648460473964,87.49703042419631,2025-09-22 18:38:20.782208,WP PMA 80467,door close delay
1486,38.9,106.0,300.7,310.9,5518.558369,27.887507757506174,1.9882297442715522,90.94967991009187,2025-09-22 18:48:41.782208,WP PMA 80467,door close delay
1785,23.4,181.0,298.2,307.9,5380.662609,0.996948373277509,0.11281597544941845,62.31306967053298,2025-09-22 18:52:14.782208,WP PMA 80271,No failure
1484,39.2,8.0,298.8,308.4,5461.357801,38.09016038139223,0.9003470073560125,93.988876876617,2025-09-22 18:52:53.782208,WP PMA 80467,signal delay
1433,53.6,185.0,303.7,312.5,5491.106404,0.5433462963633309,0.15924804859767655,55.33860676493712,2025-09-22 19:08:53.782208,WP PMA 80467,No failure
1781,27.8,113.0,298.5,308.9,5401.515025,0.8091637029355808,0.05586279834802395,55.59639789825484,2025-09-22 19:10:26.782208,WP PMA 80466,No failure
1609,36.2,116.0,297.4,308.6,5330.4601,1.1045322572289358,0.12922711744031118,61.51130399740386,2025-09-22 19:46:11.782208,WP PMA 80467,No failure
1514,37.9,9.0,298.0,308.2,5463.575056,46.10254144113112,0.6079530709041836,88.48324434748507,2025-09-22 19:52:19.782208,WP PMA 80271,signal delay
1801,26.9,11.0,297.4,308.3,5476.740025,2.6722164205793444,0.1675650783897522,60.446958138675555,2025-09-22 19:52:21.782208,WP PMA 80271,No failure
1609,28.7,39.0,300.9,310.7,5518.855521,2.155569827111627,0.0358025632619512,55.1169063520657,2025-09-22 19:53:53.782208,WP PMA 80466,No failure
1396,52.4,0.0,295.6,306.0,5337.617481,0.9175946057924641,0.02487514282092291,62.115042906848636,2025-09-22 19:58:29.782208,WP PMA 80467,No failure
1625,31.8,89.0,299.0,310.2,5466.827844,4.601520084468624,0.12702141056436317,62.366313946479146,2025-09-22 20:02:03.782208,WP PMA 80466,No failure
1438,44.0,59.0,300.3,309.5,5342.586649,4.200626095939489,0.01023877718294932,59.49965600015111,2025-09-22 20:12:54.782208,WP PMA 80271,No failure
1364,55.6,163.0,297.2,308.5,5347.558129,36.461385699506096,1.9983719108979061,90.26570522546112,2025-09-22 20:17:24.782208,WP PMA 80467,door open delay
1618,30.3,125.0,299.7,311.1,5488.290889,40.60410458568789,0.9727397823334152,91.90296894800397,2025-09-22 20:25:29.782208,WP PMA 80467,door close delay
1390,43.3,221.0,297.6,309.2,5451.607225,28.963313423812117,1.223664621780105,96.11862697857715,2025-09-22 20:30:28.782208,WP PMA 80466,door close delay
1790,26.2,191.0,300.9,310.8,5262.631936,2.3126714089452722,0.04329700800391412,62.73246984845549,2025-09-22 20:40:31.782208,WP PMA 80466,No failure
1621,32.0,184.0,300.5,310.6,5252.480676,1.4582751373059675,0.010134602104254013,63.33822230055412,2025-09-22 20:48:35.782208,WP PMA 80271,No failure
1457,44.5,83.0,302.3,311.3,5298.092944,1.3385039562251517,0.10201751517698217,60.40069184929471,2025-09-22 20:54:50.782208,WP PMA 80467,No failure
1416,58.7,156.0,303.8,312.8,5272.2121,33.788869839697,1.2694095011541886,98.03901176263835,2025-09-22 21:04:50.782208,WP PMA 80467,door open delay
1474,39.9,53.0,301.5,310.4,5256.830016,3.6165390630841943,0.06782453721429936,58.271196378085165,2025-09-22 21:05:44.782208,WP PMA 80271,No failure
2833,5.6,213.0,296.4,307.4,5435.228176,4.368124561181473,0.18046431959490042,63.50287942194798,2025-09-22 21:07:04.782208,WP PMA 80271,No failure
1448,48.9,65.0,295.5,306.2,5430.2161,0.5159269612963419,0.12742141073312044,55.2223788673645,2025-09-22 21:26:46.782208,WP PMA 80467,No failure
1431,42.3,129.0,301.6,311.0,5255.525025,0.4605088969055787,0.1366544824838598,55.87078138847501,2025-09-22 21:44:52.782208,WP PMA 80467,No failure
1489,40.6,89.0,298.2,309.0,5259.875625,26.47058142682505,1.4778885915777045,89.33932847526452,2025-09-22 22:02:18.782208,WP PMA 80466,door open delay
1628,35.9,174.0,299.1,310.5,5255.525025,3.2698198960238902,0.13728991646654737,59.35071347027845,2025-09-22 22:05:20.782208,WP PMA 80467,No failure
1645,31.6,93.0,302.4,310.1,5465.053476,0.6112878791959845,0.0769594144830411,58.068969064189304,2025-09-22 22:05:37.782208,WP PMA 80271,No failure
1298,57.5,57.0,302.5,311.9,5505.046416,48.88448593685028,1.744296866483037,88.80251842704857,2025-09-22 22:09:37.782208,WP PMA 80467,door close delay
1509,39.9,25.0,302.0,311.3,5303.043684,27.239929425481904,1.4595475697774438,80.04445211653625,2025-09-22 22:26:04.782208,WP PMA 80466,door open delay
2710,9.7,143.0,301.0,312.2,5490.661801,3.823726960395529,0.14507045920198613,57.162069107576585,2025-09-22 22:40:11.782208,WP PMA 80467,No failure
1689,28.9,100.0,300.7,310.8,5264.082916,2.5173102992270624,0.10668938848638707,59.44239728569468,2025-09-22 23:02:34.782208,WP PMA 80467,No failure
1906,21.2,110.0,302.4,310.1,5280.492889,27.30105111905368,0.7259684380530005,99.21154813216347,2025-09-22 23:02:40.782208,WP PMA 80466,door close delay
1478,46.8,165.0,300.7,311.1,5252.625625,4.541986338454399,0.12260258936258304,57.300582452671854,2025-09-22 23:06:21.782208,WP PMA 80466,No failure
1579,33.4,50.0,296.7,307.9,5438.177536,29.652550279830812,1.5245415270414138,90.68371500473029,2025-09-22 23:08:52.782208,WP PMA 80466,signal delay
1579,33.4,50.0,296.7,307.9,5438.177536,29.652550279830812,1.5245415270414138,90.68371500473029,2025-09-22 23:09:35.782208,WP PMA 80271,signal delay
1686,28.9,59.0,301.7,310.2,5281.800976,41.80940364666146,1.806523433807369,93.02853967611605,2025-09-22 23:10:57.782208,WP PMA 80467,door open delay
1683,31.7,74.0,298.2,308.9,5471.708841,2.3585234396236103,0.10110609264571924,61.198763188812634,2025-09-22 23:22:56.782208,WP PMA 80467,No failure
1357,54.5,121.0,298.9,309.9,5465.201329,3.4054756520800673,0.03410500503758192,56.54791398916448,2025-09-22 23:26:36.782208,WP PMA 80466,No failure
1744,31.5,0.0,299.0,310.2,5296.346176,28.026300229149285,1.337665464463818,86.65910951714694,2025-09-22 23:36:16.782208,WP PMA 80466,Random failure
1648,29.1,134.0,297.6,308.3,5260.455841,2.5909438435579553,0.1703104060710435,59.07349056129178,2025-09-22 23:38:12.782208,WP PMA 80467,No failure
1618,30.3,125.0,299.7,311.1,5488.290889,40.60410458568789,0.9727397823334152,91.90296894800397,2025-09-22 23:40:11.782208,WP PMA 80467,door close delay
1671,31.6,137.0,301.7,310.8,5316.888889,29.42162169453939,1.7513437119216573,96.732082886829,2025-09-22 23:47:42.782208,WP PMA 80271,door open delay
1401,49.7,118.0,302.3,311.2,5297.510656,4.003653163387825,0.10101601790729035,58.67774821062037,2025-09-22 23:51:36.782208,WP PMA 80271,No failure
1880,24.5,156.0,302.4,311.1,5440.5376,3.4135300000355477,0.07964302955341358,56.29436593027338,2025-09-22 23:54:06.782208,WP PMA 80467,No failure
1648,29.6,157.0,302.0,310.3,5284.272249,45.846751847405464,1.916727041356644,80.06354773317213,2025-09-22 23:58:07.782208,WP PMA 80271,drive delay
1489,38.3,35.0,302.2,311.5,5435.670529,3.3297372962703164,0.16213773366130108,55.36726771535078,2025-09-22 23:59:55.782208,WP PMA 80271,No failure
1603,32.6,121.0,301.1,310.5,5260.165729,1.4160647523127934,0.07715606508833031,58.46006795968754,2025-09-23 00:00:28.782208,WP PMA 80467,No failure
