Premise Owner,Premise Name,Location desc,Lift ID,Capacity,Manufacturer,Installed year,Company,PMA Expiry Date,Latitude,Longitude
BPH - Kuarters,Kompleks Kediaman Kakitangan Awam Jalan Uthant,BLOK C,WP PMA 4171,800 kg,TOSHIBA,2000,RANI MS ENGINEERING,27-Feb-25,3.152963483,101.7364352
Ibu Pejabat Polis Bukit Aman,Ibu Pejabat Polis Bukit Aman,NOC PULAPOL,WP PMA 16228,800 kg,SCHINDLER,2000,SWORD ELEVATOR (M) SDN BHD,16-Mar-26,3.174364028,101.71714223005837
Ibu Pejabat Polis Bukit Aman,Ibu Pejabat Polis Bukit Aman,NOC PULAPOL,WP PMA 16227,800 kg,SCHINDLER,2000,SWORD ELEVATOR (M) SDN BHD,16-Mar-26,3.174364028,101.71714223005837
Ibu Pejabat Polis Bukit Aman,Ibu Pejabat Polis Bukit Aman,PERUMAHAN SRI MAHANG,WP PMA 92958,800 kg,TOSHIBA,2000,PRIMA ALTERNATIVE SDN BHD,23-Aug-24,3.1789199795243364,101.74980687625614
Ibu Pejabat Polis Bukit Aman,Ibu Pejabat Polis Bukit Aman,PERUMAHAN SRI MAHANG,WP PMA 92124,800 kg,TOSHIBA,2000,PRIMA ALTERNATIVE SDN BHD,23-Aug-24,3.1789199795243364,101.74980687625614
Ibu Pejabat Polis Bukit Aman,Ibu Pejabat Polis Bukit Aman,YAHYAPETRA ( BLOK PERUMAHAN),WP PMA 94262,800 kg,KONE,2000,KIARA KASIH SDN.BHD,04-Sep-25,3.178811263,101.71496592418733
Ibu Pejabat Polis Bukit Aman,Ibu Pejabat Polis Bukit Aman,YAHYAPETRA ( BLOK PERUMAHAN),WP PMA 92297,800 kg,KONE,2000,KIARA KASIH SDN.BHD,04-Sep-25,3.178811263,101.71496592418733
Ibu Pejabat Polis Bukit Aman,Ibu Pejabat Polis Bukit Aman,YAHYA PETRA ( BLOK PENTADBIRAN),WP PMA 94263,800 kg,KONE,2000,KIARA KASIH SDN.BHD,04-Sep-25,3.178811263,101.71496592418733
Ibu Pejabat Polis Bukit Aman,Ibu Pejabat Polis Bukit Aman,YAHYA PETRA ( BLOK PENTADBIRAN),WP PMA 92483,800 kg,KONE,2000,KIARA KASIH SDN.BHD,04-Sep-25,3.178811263,101.71496592418733
Ibu Pejabat Polis Bukit Aman,Ibu Pejabat Polis Bukit Aman,YAHYA PETRA ( BLOK PENTADBIRAN),WP PMA 95649,800 kg,KONE,2000,KIARA KASIH SDN.BHD,04-Sep-25,3.178811263,101.71496592418733
Ibu Pejabat Polis Bukit Aman,Ibu Pejabat Polis Bukit Aman,MENARA 2 IBU PEJABAT POLIS BUKIT AMAN,WP PMA 95726,800 kg,TOSHIBA,2000,RANI-MS ENGINEERING SDN.BHD,08-Apr-25,3.147491796,101.69158668843106
Ibu Pejabat Polis Bukit Aman,Ibu Pejabat Polis Bukit Aman,MENARA 2 IBU PEJABAT POLIS BUKIT AMAN,WP PMA 95516,800 kg,TOSHIBA,2000,RANI-MS ENGINEERING SDN.BHD,08-Apr-25,3.147491796,101.69158668843106
Ibu Pejabat Polis Bukit Aman,Ibu Pejabat Polis Bukit Aman,MENARA 3 IBU PEJABAT POLIS BUKIT AMAN,WP PMA 93205,800 kg,TOSHIBA,2000,RANI-MS ENGINEERING SDN.BHD,08-Apr-25,3.148598286,101.69151580572368
Ibu Pejabat Polis Bukit Aman,Ibu Pejabat Polis Bukit Aman,BEREK KELAMIN JKR 4313 JALAN CENDERASARI KL,WP PMA 92122,800 kg,TOSHIBA,2000,RANI-MS ENGINEERING SDN.BHD,08-Apr-25,3.147441108,101.69024778021543
Ibu Pejabat Polis Bukit Aman,Ibu Pejabat Polis Bukit Aman,BEREK KELAMIN JKR 4313 JALAN CENDERASARI KL,WP PMA 93262,800 kg,TOSHIBA,2000,RANI-MS ENGINEERING SDN.BHD,08-Apr-25,3.147441108,101.69024778021543
Ibu Pejabat Polis Bukit Aman,Ibu Pejabat Polis Bukit Aman,BEREK KELAMIN JKR 4444 JALAN CENDERASARI KL,WP PMA 93263,800 kg,TOSHIBA,2000,RANI-MS ENGINEERING SDN.BHD,08-Apr-25,3.147441108,101.69024778021543
Ibu Pejabat Polis Bukit Aman,Ibu Pejabat Polis Bukit Aman,BEREK KELAMIN JKR 4444 JALAN CENDERASARI KL,WP PMA 92123,800 kg,TOSHIBA,2000,RANI-MS ENGINEERING SDN.BHD,08-Apr-25,3.147441108,101.69024778021543
Ibu Pejabat Polis Bukit Aman,Kompleks Kemudahan PDRM Kuala Lumpur,BLOK A,WP PMA 17213,800 kg,KONE,2000,DONG YANG ELEVATOR (M) SDN. BHD.,-,3.218953713,101.68413580895427
Ibu Pejabat Polis Bukit Aman,Kompleks Kemudahan PDRM Kuala Lumpur,BLOK A,WP PMA 17214,800 kg,KONE,2000,DONG YANG ELEVATOR (M) SDN. BHD.,-,3.218953713,101.68413580895427
Ibu Pejabat Polis Bukit Aman,Kompleks Kemudahan PDRM Kuala Lumpur,BLOK B,WP PMA 17081,800 kg,KONE,2000,DONG YANG ELEVATOR (M) SDN. BHD.,-,3.219075742,101.68330038827867
Ibu Pejabat Polis Bukit Aman,Kompleks Kemudahan PDRM Kuala Lumpur,BLOK B,WP PMA 17082,800 kg,KONE,2000,DONG YANG ELEVATOR (M) SDN. BHD.,-,3.219075742,101.68330038827867
Jabatan Agama Islam Wilayah Persekutuan Kuala Lumpur,Kompleks Pusat Islam,L4,WP PMA 5068,800 kg,SCHINLER,2000,ANF GLOBAL RESOURCES,12-Oct-24,3.140095839,101.6910878
Jabatan Agama Islam Wilayah Persekutuan Kuala Lumpur,Kompleks Pusat Islam,L1,WP PMA 4634,800 kg,SCHINLER,2000,ANF GLOBAL RESOURCES,12-Oct-24,3.140095839,101.6910878
Jabatan Agama Islam Wilayah Persekutuan Kuala Lumpur,Kompleks Pusat Islam,L3,WP PMA 5069,800 kg,SCHINLER,2000,ANF GLOBAL RESOURCES,12-Oct-24,3.140095839,101.6910878
Jabatan Agama Islam Wilayah Persekutuan Kuala Lumpur,Kompleks Pusat Islam,L6,WP PMA 4635,800 kg,SCHINLER,2000,ANF GLOBAL RESOURCES,12-Oct-24,3.140095839,101.6910878
Jabatan Agama Islam Wilayah Persekutuan Kuala Lumpur,Kompleks Pusat Islam,ESK1,WP PMA 92714,800 kg,KONE,2000,RANI-MS ENGINEERING SDN.BHD,11-Dec-24,3.140095839,101.6910878
Jabatan Agama Islam Wilayah Persekutuan Kuala Lumpur,Kompleks Pusat Islam,ESK2,WP PMA 92715,800 kg,KONE,2000,RANI-MS ENGINEERING SDN.BHD,11-Dec-24,3.140095839,101.6910878
Jabatan Agama Islam Wilayah Persekutuan Kuala Lumpur,Masjid Wilayah Persekutuan,OKU,WP PMA 93667,800 kg,TOSHIBA,2000,RANI-MS ENGINEERING SDN.BHD,11-Dec-24,3.172032781,101.6712164
Jabatan Agama Islam Wilayah Persekutuan Kuala Lumpur,Kompleks Pusat Islam,L2,WP PMA 4633,800 kg,SCHINLER,2000,ANF GLOBAL RESOURCES,12-Oct-24,3.140095839,101.6910878
Jabatan Kemajuan Masyarakat,Institut Latihan KEMAS Kuala Lumpur,PENTADBIRAN,WP PMA 11597,800 kg,TOSHIBA,2000,POTENSI TERUS INDUSTRIES SDN BHD,14-Jun-25,3.12844983,101.6907739
Jabatan Kemajuan Masyarakat,Institut Latihan KEMAS Kuala Lumpur,PENTADBIRAN,WP PMA 11598,800 kg,TOSHIBA,2000,POTENSI TERUS INDUSTRIES SDN BHD,14-Jun-25,3.12844983,101.6907739
Jabatan Kemajuan Masyarakat,Institut Latihan KEMAS Kuala Lumpur,KUARTERS,WP PMA 11595,800 kg,TOSHIBA,2000,POTENSI TERUS INDUSTRIES SDN BHD,14-Jun-25,3.12844983,101.6907739
Jabatan Kemajuan Masyarakat,Institut Latihan KEMAS Kuala Lumpur,KUARTERS,WP PMA 11596,800 kg,TOSHIBA,2000,POTENSI TERUS INDUSTRIES SDN BHD,14-Jun-25,3.12844983,101.6907739
Jabatan Meteorologi Kuala Lumpur,Jabatan Meteorologi Kuala Lumpur,BLOK C,PMA 101482,800 kg,HITACHI,2000,HITACHI ELEVATOR ENGINEERING (M) SDN BHD,11-May-26,3.104022911,101.6479988
Jabatan Meteorologi Kuala Lumpur,Jabatan Meteorologi Kuala Lumpur,BLOK C,PMA 101483,800 kg,HITACHI,2000,HITACHI ELEVATOR ENGINEERING (M) SDN BHD,11-May-26,3.104022911,101.6479988
Jabatan Pendidikan Wilayah Persekutuan Kuala Lumpur Kuala Lumpur,Kolej Tingkatan Enam Desa Mahkota,LIFT 1,WP PMA 17180,800 kg,MITSUBISHI,2000,ARIF BETA SDN. BHD.,31-Dec-24,3.189021104,101.639506
Jabatan Pendidikan Wilayah Persekutuan Kuala Lumpur Kuala Lumpur,Kolej Tingkatan Enam Desa Mahkota,LIFT 2,WP PMA 17181,800 kg,MITSUBISHI,2000,ARIF BETA SDN. BHD.,31-Dec-24,3.189021104,101.639506
Jabatan Pendidikan Wilayah Persekutuan Kuala Lumpur Kuala Lumpur,SMK Cochrane Perkasa,LIFT 1,WP PMA 3690,800 kg,TOSHIBA,2000,ASIA FUJI ELEVATOR SDN BHD,31-Dec-24,3.135254116,101.7250075
Jabatan Pendidikan Wilayah Persekutuan Kuala Lumpur Kuala Lumpur,SMK Cochrane Perkasa,LIFT 2,WP PMA 3691,800 kg,TOSHIBA,2000,ASIA FUJI ELEVATOR SDN BHD,31-Dec-24,3.135254116,101.7250075
Jabatan Pendidikan Wilayah Persekutuan Kuala Lumpur Kuala Lumpur,SMK Cochrane Perkasa,LIFT 3,WP PMA 3692,800 kg,TOSHIBA,2000,ASIA FUJI ELEVATOR SDN BHD,31-Dec-24,3.135254116,101.7250075
Jabatan Pendidikan Wilayah Persekutuan Kuala Lumpur Kuala Lumpur,SMK Seri Sentosa,FL 1,WP PMA 16657,800 kg,KONE,2000,POTENSI TERUS INDUSTRIES SDN BHD,31-Dec-24,3.093051133,101.6826147
Jabatan Pendidikan Wilayah Persekutuan Kuala Lumpur Kuala Lumpur,SMK Seri Sentosa,PL 2,WP PMA 16658,800 kg,KONE,2000,POTENSI TERUS INDUSTRIES SDN BHD,31-Dec-24,3.093051133,101.6826147
Jabatan Pendidikan Wilayah Persekutuan Kuala Lumpur Kuala Lumpur,SMK Seri Sentosa,BLOK B,WP PMA 16659,800 kg,KONE,2000,POTENSI TERUS INDUSTRIES SDN BHD,31-Dec-24,3.093051133,101.6826147
Jabatan Pendidikan Wilayah Persekutuan Kuala Lumpur Kuala Lumpur,SMK Seri Sentosa,BLOK B,WP PMA 16660,800 kg,KONE,2000,POTENSI TERUS INDUSTRIES SDN BHD,31-Dec-24,3.093051133,101.6826147
Jabatan Pendidikan Wilayah Persekutuan Kuala Lumpur Kuala Lumpur,SMK Seri Sentosa,BLOK C,WP PMA 16661,800 kg,KONE,2000,POTENSI TERUS INDUSTRIES SDN BHD,31-Dec-24,3.093051133,101.6826147
Jabatan Pendidikan Wilayah Persekutuan Kuala Lumpur Kuala Lumpur,SMK Seri Sentosa,BLOK C,WP PMA 16662,800 kg,KONE,2000,POTENSI TERUS INDUSTRIES SDN BHD,31-Dec-24,3.093051133,101.6826147
Jabatan Pendidikan Wilayah Persekutuan Kuala Lumpur Kuala Lumpur,SMK Convent Jalan Peel,LIFT 1,WP PMA 16820,800 kg,TOSHIBA,2000,ASIA FUJI ELEVATOR SDN BHD,31-Dec-24,3.130794075,101.7203842
Jabatan Pendidikan Wilayah Persekutuan Kuala Lumpur Kuala Lumpur,SMK Convent Jalan Peel,LIFT 2,WP PMA 16821,800 kg,TOSHIBA,2000,ASIA FUJI ELEVATOR SDN BHD,31-Dec-24,3.130794075,101.7203842
Jabatan Pendidikan Wilayah Persekutuan Kuala Lumpur Kuala Lumpur,SMK Convent Jalan Peel,LIFT 3,WP PMA 16822,800 kg,TOSHIBA,2000,ASIA FUJI ELEVATOR SDN BHD,31-Dec-24,3.130794075,101.7203842
Jabatan Pendidikan Wilayah Persekutuan Kuala Lumpur Kuala Lumpur,SMK Convent Jalan Peel,LIFT 4,WP PMA 16823,800 kg,TOSHIBA,2000,ASIA FUJI ELEVATOR SDN BHD,31-Dec-24,3.130794075,101.7203842
Jabatan Pendidikan Wilayah Persekutuan Kuala Lumpur Kuala Lumpur,SMK Sentul Utama,LIFT 2,WP PMA 11663,800 kg,SCHINDLER,2000,ASIA FUJI ELEVATOR SDN BHD,31-Dec-24,3.175220467,101.6912721
Jabatan Pendidikan Wilayah Persekutuan Kuala Lumpur Kuala Lumpur,SMK Sentul Utama,LIFT 3,WP PMA 11664,800 kg,SCHINDLER,2000,ASIA FUJI ELEVATOR SDN BHD,31-Dec-24,3.175220467,101.6912721
Jabatan Pendidikan Wilayah Persekutuan Kuala Lumpur Kuala Lumpur,SMK Sentul Utama,LIFT 4,WP PMA 11665,800 kg,SCHINDLER,2000,ASIA FUJI ELEVATOR SDN BHD,31-Dec-24,3.175220467,101.6912721
Jabatan Pendidikan Wilayah Persekutuan Kuala Lumpur Kuala Lumpur,SMK (P) Air Panas,LIFT 1,WP PMA 14594,800 kg,DOVER,2000,ASIA FUJI ELEVATOR SDN BHD,31-Dec-24,3.189754752,101.7155203
Jabatan Pendidikan Wilayah Persekutuan Kuala Lumpur Kuala Lumpur,SMK (P) Air Panas,LIFT 2,WP PMA 14595,800 kg,DOVER,2000,ASIA FUJI ELEVATOR SDN BHD,31-Dec-24,3.189754752,101.7155203
Jabatan Pendidikan Wilayah Persekutuan Kuala Lumpur Kuala Lumpur,SMK (P) Air Panas,LIFT 3,WP PMA 14596,800 kg,DOVER,2000,ASIA FUJI ELEVATOR SDN BHD,31-Dec-24,3.189754752,101.7155203
Jabatan Pendidikan Wilayah Persekutuan Kuala Lumpur Kuala Lumpur,SMK Petaling,PL 1,WP PMA 16097,800 kg,KONE,2000,POTENSI TERUS INDUSTRIES SDN BHD,11-Jul-22,3.08093184,101.6604596
Jabatan Pendidikan Wilayah Persekutuan Kuala Lumpur Kuala Lumpur,SMK Petaling,PL 2,WP PMA 16098,800 kg,KONE,2000,POTENSI TERUS INDUSTRIES SDN BHD,11-Jul-22,3.08093184,101.6604596
Jabatan Pendidikan Wilayah Persekutuan Kuala Lumpur Kuala Lumpur,SMK Petaling,PL 3,WP PMA 16099,800 kg,KONE,2000,POTENSI TERUS INDUSTRIES SDN BHD,11-Jul-22,3.08093184,101.6604596
Jabatan Pendidikan Wilayah Persekutuan Kuala Lumpur Kuala Lumpur,SMK Orkid Desa,LIFT 1,WP PMA 17489,800 kg,KONE,2000,ASIA FUJI ELEVATOR SDN BHD,31-Dec-24,3.076756033,101.7365837
Jabatan Pendidikan Wilayah Persekutuan Kuala Lumpur Kuala Lumpur,SMK Orkid Desa,LIFT 2,WP PMA 17490,800 kg,KONE,2000,ASIA FUJI ELEVATOR SDN BHD,31-Dec-24,3.076756033,101.7365837
Jabatan Pendidikan Wilayah Persekutuan Kuala Lumpur Kuala Lumpur,SMK Orkid Desa,LIFT 3,WP PMA 17564,800 kg,KONE,2000,ASIA FUJI ELEVATOR SDN BHD,31-Dec-24,3.076756033,101.7365837
Jabatan Pendidikan Wilayah Persekutuan Kuala Lumpur Kuala Lumpur,Kompleks Institusi Pendidikan Desa Perwira,LIFT 1,WP PMA 16664,800 kg,TOSHIBA,2000,DONG YANG ELEVATOR (M) SDN. BHD.,09-Nov-24,3.135979612,101.7323866
Jabatan Pendidikan Wilayah Persekutuan Kuala Lumpur Kuala Lumpur,Kompleks Institusi Pendidikan Desa Perwira,LIFT 2,WP PMA 16665,800 kg,TOSHIBA,2000,DONG YANG ELEVATOR (M) SDN. BHD.,09-Nov-24,3.135979612,101.7323866
Jabatan Pendidikan Wilayah Persekutuan Kuala Lumpur Kuala Lumpur,Kompleks Institusi Pendidikan Seri Seputeh,LIFT 1,WP PMA 15843,800 kg,KONE,2000,DONG YANG ELEVATOR (M) SDN. BHD.,09-Apr-24,3.113104124,101.6806897
Jabatan Pendidikan Wilayah Persekutuan Kuala Lumpur Kuala Lumpur,Kompleks Institusi Pendidikan Seri Seputeh,LIFT 2,WP PMA 15844,800 kg,KONE,2000,DONG YANG ELEVATOR (M) SDN. BHD.,09-Apr-24,3.113104124,101.6806897
Jabatan Pendidikan Wilayah Persekutuan Kuala Lumpur Kuala Lumpur,SMK Cochrane,LIFT 1,WP PMA 113989,800 kg,TOSHIBA,2000,ASIA FUJI ELEVATOR SDN BHD,05-Mar-24,3.130766204,101.7265797
Jabatan Pendidikan Wilayah Persekutuan Kuala Lumpur Kuala Lumpur,SMK Cochrane,LIFT 2,WP PMA 113990,800 kg,TOSHIBA,2000,ASIA FUJI ELEVATOR SDN BHD,05-Mar-24,3.130766204,101.7265797
Jabatan Pendidikan Wilayah Persekutuan Kuala Lumpur Kuala Lumpur,SMK Cochrane,LIFT 3,WP PMA 113991,800 kg,TOSHIBA,2000,ASIA FUJI ELEVATOR SDN BHD,05-Mar-24,3.130766204,101.7265797
Jabatan Pendidikan Wilayah Persekutuan Kuala Lumpur Kuala Lumpur,Jabatan Pendidikan Wilayah Persekutuan Kuala Lumpur,LIFT 1,WP PMA 60156,800 kg,LG,2000,POTENSI TERUS INDUSTRIES SDN BHD,05-Mar-24,3.168761668,101.674923
Jabatan Pendidikan Wilayah Persekutuan Kuala Lumpur Kuala Lumpur,Jabatan Pendidikan Wilayah Persekutuan Kuala Lumpur,LIFT 2,WP PMA 60157,800 kg,LG,2000,POTENSI TERUS INDUSTRIES SDN BHD,05-Mar-24,3.168761668,101.674923
Jabatan Pendidikan Wilayah Persekutuan Kuala Lumpur Kuala Lumpur,SMK Tiara Permai,LIFT 1,WP PMA 26689,800 kg,TOSHIBA,2000,RANI-MS ENGINEERING SDN BHD,07-Nov-25,3.209244432,101.6739873
Jabatan Pendidikan Wilayah Persekutuan Kuala Lumpur Kuala Lumpur,Kompleks Institusi Pendidikan Sri Bintang,LIFT 1,WP PMA 23,800 kg,OTIS,2000,DONG YANG ELEVATOR (M) SDN. BHD.,09-Nov-24,3.122045969,101.7339417
Jabatan Pendidikan Wilayah Persekutuan Kuala Lumpur Kuala Lumpur,Kompleks Institusi Pendidikan Sri Bintang,LIFT 2,WP PMA 24,800 kg,OTIS,2000,DONG YANG ELEVATOR (M) SDN. BHD.,09-Nov-24,3.122045969,101.7339417
Jabatan Pendidikan Wilayah Persekutuan Kuala Lumpur Kuala Lumpur,Kompleks Institusi Pendidikan Sri Bintang,ASRAMA LELAKI,WP PMA 113415,800 kg,OTIS,2000,DONG YANG ELEVATOR (M) SDN. BHD.,03-Mar-22,3.122045969,101.7339417
Jabatan Pendidikan Wilayah Persekutuan Kuala Lumpur Kuala Lumpur,Kompleks Institusi Pendidikan Sri Bintang,ASRAMA PEREMPUAN,WP PMA 113416,800 kg,OTIS,2000,DONG YANG ELEVATOR (M) SDN. BHD.,03-Mar-22,3.122045969,101.7339417
Jabatan Pendidikan Wilayah Persekutuan Kuala Lumpur Kuala Lumpur,Kompleks Institusi Pendidikan Sri Bintang,SMK S.B.UTARA,WP PMA 91119,800 kg,OTIS,2000,DONG YANG ELEVATOR (M) SDN. BHD.,03-Mar-22,3.122045969,101.7339417
Jabatan Pendidikan Wilayah Persekutuan Kuala Lumpur Kuala Lumpur,Kompleks Institusi Pendidikan Sri Bintang,SK S.B.UTARA,WP PMA 91120,800 kg,OTIS,2000,DONG YANG ELEVATOR (M) SDN. BHD.,03-Mar-22,3.122045969,101.7339417
Jabatan Pendidikan Wilayah Persekutuan Kuala Lumpur Kuala Lumpur,Kompleks Institusi Pendidikan Sri Bintang,SMK S.B.SELATAN,WP PMA 103146,800 kg,OTIS,2000,DONG YANG ELEVATOR (M) SDN. BHD.,03-Mar-22,3.122045969,101.7339417
Jabatan Pendidikan Wilayah Persekutuan Kuala Lumpur Kuala Lumpur,Kompleks Institusi Pendidikan Sri Bintang,SK S.B.SELATAN,WP PMA 103147,800 kg,OTIS,2000,DONG YANG ELEVATOR (M) SDN. BHD.,03-Mar-22,3.122045969,101.7339417
Jabatan Pendidikan Wilayah Persekutuan Kuala Lumpur Kuala Lumpur,SMK Sentul Utama,LIFT 1,WP PMA 11662,800 kg,SCHINDLER,2000,ASIA FUJI ELEVATOR SDN BHD,31-Dec-24,3.175220467,101.6912721
Jabatan Pendidikan Wilayah Persekutuan Kuala Lumpur Kuala Lumpur,SMK Maxwell,BLOK UTAMA,WP PMA 14755,800 kg,KONE,2000,ARIF BETA SDN. BHD.,31-Dec-24,3.171185474,101.6912834
Jabatan Pendidikan Wilayah Persekutuan Kuala Lumpur Kuala Lumpur,SMK Sentul Utama,LIFT 1,WP PMA 11662,800 kg,SCHINDLER,2000,ASIA FUJI ELEVATOR SDN BHD,31-Dec-24,3.175220467,101.6912721
Jabatan Pendidikan Wilayah Persekutuan Kuala Lumpur Kuala Lumpur,SMK Maxwell,BLOK UTAMA,WP PMA 14755,800 kg,KONE,2000,ARIF BETA SDN. BHD.,31-Dec-24,3.171185474,101.6912834
Jabatan Perkhidmatan Awam,INTAN Bukit Kiara,BLOK B KUARTES,WP PMA99072,800 kg,KONE,2025,SERVICE MASTER SDN BHD,30-Sep-24,3.142639394,101.6467935
Jabatan Perkhidmatan Awam,INTAN Bukit Kiara,BLOK A PEJABAT,WP PMA100390,800 kg,KONE,2025,SERVICE MASTER SDN BHD,16-Oct-19,3.142639394,101.6467935
Jabatan Perkhidmatan Awam,INTAN Bukit Kiara,BLOK C PEJABAT,WP PMA100425,800 kg,KONE,2025,SERVICE MASTER SDN BHD,16-Oct-19,3.142639394,101.6467935
Jabatan Perkhidmatan Awam,INTAN Bukit Kiara,BLOK IMATEC,WP PMA 94340,800 kg,MITSUBISHI,2018,SERVICE MASTER SDN BHD,16-Oct-19,3.142639394,101.6467935
Jabatan Perkhidmatan Awam,INTAN Bukit Kiara,BLOK ASRAMA ANGGERIK,WP PMA 94173,800 kg,MITSUBISHI,2018,SERVICE MASTER SDN BHD,08-Jan-19,3.142639394,101.6467935
Jabatan Perkhidmatan Awam,INTAN Bukit Kiara,BLOK ASRAMA ANGGERIK,WP PMA 94174,800 kg,MITSUBISHI,2018,SERVICE MASTER SDN BHD,08-Jan-19,3.142639394,101.6467935
Jabatan Perkhidmatan Awam,INTAN Bukit Kiara,BLOK IMATEC,WP PMA 94339,800 kg,MITSUBISHI,2000,SERVICE MASTER SDN BHD,16-Oct-19,3.142639394,101.6467935
Jabatan Perkhidmatan Awam,INTAN Bukit Kiara,BLOK A KUARTERS,WP PMA99071,800 kg,KONE,2000,SERVICE MASTER SDN BHD,30-Sep-24,3.142639394,101.6467935
Jabatan Perkhidmatan Awam,INTAN Jalan Elmu,BLOK MENARA,WP PMA 17338,800 kg,KONE,2000,DONG YANG ELEVATOR (M) SDN. BHD.,08-Apr-25,3.119503715,101.649136
Jabatan Perkhidmatan Awam,INTAN Jalan Elmu,BLOK MENARA,WP PMA 17324,800 kg,KONE,2000,DONG YANG ELEVATOR (M) SDN. BHD.,08-Apr-25,3.119503715,101.649136
